Achtrutenberg,Pank,O,57,U,mittel * D,,Adlergestell,TrKö,O 627,- 637,U,einfach * D
Ackerplanweg,Rein,W,,K,mittel  D,,Adlergestell,TrKö,O 639,,U,einfach  D
Ackerstraße,Mitt,O,1 - 1 A,F,mittel Z,,Adlergestell,TrKö,O 641,- 649,U,einfach * D
Ackerstraße,Mitt,O,1 B - 26,F,gut Z,,Adlergestell,TrKö,O 650,- 764,G,einfach * D
Ackerstraße,Mitt,O,27 - 29,F,gut * Z,,Adlergestell,TrKö,O 737,,U,einfach  D
Ackerstraße,Mitt,O,30 - 40,F,gut Z,,Adlergestell,TrKö,O 739,- 739 C,U,einfach * D
Ackerstraße,Mitt,O,41 - 43,F,gut * Z,,Adlergestell,TrKö,O 741,,U,einfach  D
Ackerstraße,Mitt,W,45 - 93,F,einfach Z,,Adlergestell,TrKö,O 741 A,- 763,U,einfach * D
Ackerstraße,Mitt,W,94 - 104,F,einfach * Z,,Adlergestell,TrKö,O 764 A,- 764 B,G,einfach  D
Ackerstraße,Mitt,W,105 - 137,F,einfach Z,,Adlergestell,TrKö,O 765,,U,einfach  D
Ackerstraße,Mitt,O,144 - 170,F,gut Z,,Adlergestell,TrKö,O 766,- 770,G,einfach * D
Ackerstraße,Mitt,O,171,F,gut * Z,,Adlergestell,TrKö,O 767,- 785,U,einfach * D
Ackerstraße,Mitt,O,172,F,mittel * Z,,Adlergestell,TrKö,O 770 A,- 770 B,G,einfach  D
Ackerstraße,Mitt,O,173 - 174,F,mittel Z,,Adlergestell,TrKö,O 772,- 784,G,einfach * D
Ackerstraße,Span,W,2 - 19,F,einfach  D,,Adlergestell,TrKö,O 786,,G,einfach  D
Ackerstraße,Span,W,23,F,einfach * D,,Adlershofer Straße,TrKö,O 1,,F,mittel Z
Ackerstraße,Span,W,25 - 41,F,einfach  D,,Adlershofer Straße,TrKö,O 1 A,- 1 C,F,mittel * Z
Adalbertstraße,FrKr,W,1 - 3,F,einfach * Z,,Adlershofer Straße,TrKö,O 2,- 9,F,mittel Z
Adalbertstraße,FrKr,W,4 - 5,F,einfach Z,,Adlerstraße,TrKö,O,,K,einfach  D
Adalbertstraße,FrKr,W,6,F,einfach * Z,,Admiralstraße,FrKr,W 1,,F,einfach * Z
Adalbertstraße,FrKr,W,6 A,F,einfach Z,,Admiralstraße,FrKr,W 2,- 36,F,einfach Z
Adalbertstraße,FrKr,W,7,F,einfach * Z,,Admiralstraße,FrKr,W 37,- 38,F,einfach * Z
Adalbertstraße,FrKr,W,8,F,einfach Z,,Adolf-Heyden-Straße,TrKö,O,,K,mittel  D
Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7,,Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7
Adolf-Martens-Straße,StZe,W 1,- 19,U,gut  D,,Ahlener Weg,StZe,W,,K,einfach  D
Adolf-Martens-Straße,StZe,W 2,- 8,G,gut  D,,Ahornallee,ChWi,W,2,F,gut * D
Adolf-Martens-Straße,StZe,W 8 A,- 12,G,gut * D,,Ahornallee,ChWi,W,3 - 10 A,F,gut  D
Adolf-Martens-Straße,StZe,W 12 A,- 16 A,G,gut  D,,Ahornallee,ChWi,W,12 - 16,F,gut Z
Adolf-Martens-Straße,StZe,W 21,,U,gut * D,,Ahornallee,ChWi,W,17,F,gut * Z
Adolf-Menzel-Straße,MaHe,O 1,,U,einfach * D,,Ahornallee,ChWi,W,18 - 25,F,gut Z
Adolf-Menzel-Straße,MaHe,O 2,,G,einfach * D,,Ahornallee,ChWi,W,26 - 27,F,gut * Z
Adolf-Menzel-Straße,MaHe,O 3,- 77,U,einfach  D,,Ahornallee,ChWi,W,28 - 36,F,gut Z
Adolf-Menzel-Straße,MaHe,O 6,- 78,G,einfach  D,,Ahornallee,ChWi,W,37 - 37 A,F,gut * Z
Adolf-Scheidt-Platz,TSch,W 1,- 19,F,mittel Z,,Ahornallee,ChWi,W,39 - 41,F,gut Z
Adolf-Scheidt-Platz,TSch,W 20,,F,mittel * Z,,Ahornallee,ChWi,W,43 - 56,F,gut  D
Adolfstraße,MaHe,O 1,- 3,F,mittel * D,,Ahornallee,ChWi,W,57,F,gut * D
Adolfstraße,MaHe,O 4,- 35 B,F,mittel  D,,Ahornallee,MaHe,O,1,F,einfach * D
Adolfstraße,MaHe,O 36,- 36 A,F,mittel * D,,Ahornallee,MaHe,O,1 A - 8 B,F,einfach  D
Adolfstraße,Mitt,W,,K,einfach Z,,Ahornallee,MaHe,O,8 C - 48,F,mittel  D
Adolfstraße (Stegl),StZe,W,,K,mittel Z,,Ahornallee,MaHe,O,48 A - 56,F,einfach  D
Adolfstraße (Zehld),StZe,W,,K,mittel  D,,Ahornallee,Span,W,,K,mittel  D
Adorfer Straße,MaHe,O,,K,einfach Z,,Ahornallee (Blanb),Pank,O,,K,mittel  D
Aegirstraße,Rein,W 1,- 2,F,einfach * Z,,Ahornallee (Frihg),TrKö,O,1 - 54,F,gut Z
Aegirstraße,Rein,W 3,- 11,F,einfach Z,,Ahornallee (Frihg),TrKö,O,54 A,F,gut * Z
AEG-Siedlung Heimat,Rein,W,,K,mittel  D,,Ahornallee (Köpen),TrKö,O,2 - 22,G,mittel  D
AEG-Straße,Rein,W,,K,mittel  D,,Ahornallee (Köpen),TrKö,O,5 - 29,U,mittel  D
Affensteinweg,Pank,O,,K,einfach  D,,Ahornallee (Köpen),TrKö,O,24,G,mittel Z
Afrikanische Straße,Mitt,W 2,- 26,G,einfach * Z,,Ahornallee (Köpen),TrKö,O,31,U,mittel Z
Afrikanische Straße,Mitt,W 15,- 121,U,einfach * Z,,Ahornallee (Roset),Pank,O,1 - 4,F,mittel  D
Afrikanische Straße,Mitt,W 28,- 40,G,einfach Z,,Ahornallee (Roset),Pank,O,4 A,F,mittel * D
Afrikanische Straße,Mitt,W 70,- 74,G,einfach * Z,,Ahornallee (Roset),Pank,O,5 - 9,F,mittel  D
Afrikanische Straße,Mitt,W 76,,G,einfach Z,,Ahornstraße,MaHe,O,,K,mittel  D
Afrikanische Straße,Mitt,W 78,,G,einfach * Z,,Ahornstraße,TrKö,O,,K,mittel  D
Afrikanische Straße,Mitt,W 80,- 84,G,einfach Z,,Ahornstraße,TSch,W,1 - 5,F,mittel Z
Afrikanische Straße,Mitt,W 86,,G,einfach * Z,,Ahornstraße,TSch,W,6,F,mittel * Z
Afrikanische Straße,Mitt,W 88,- 88 A,G,einfach Z,,Ahornstraße (Stegl),StZe,W,1 A,F,gut * Z
Afrikanische Straße,Mitt,W 90,- 96,G,einfach * Z,,Ahornstraße (Stegl),StZe,W,3 - 32,F,gut Z
Afrikanische Straße,Mitt,W 98,,G,einfach Z,,Ahornstraße (Zehld),StZe,W,1,F,gut * Z
Afrikanische Straße,Mitt,W 100,- 104,G,einfach * Z,,Ahornstraße (Zehld),StZe,W,1 A - 22,F,gut Z
Afrikanische Straße,Mitt,W 106,,G,einfach Z,,Ahornweg,TrKö,O,1,U,mittel * D
Afrikanische Straße,Mitt,W 108,- 112,G,einfach * Z,,Ahornweg,TrKö,O,2 - 12,G,mittel  D
Afrikanische Straße,Mitt,W 114,,G,einfach Z,,Ahornweg,TrKö,O,3 - 13,U,mittel  D
Afrikanische Straße,Mitt,W 116,- 144 B,G,einfach * Z,,Ahrensdorfer Straße,TSch,W,2 - 4,G,mittel * D
Afrikanische Straße,Mitt,W 123,- 125,U,einfach Z,,Ahrensdorfer Straße,TSch,W,6 - 18,G,mittel  D
Afrikanische Straße,Mitt,W 139,- 141 A,U,einfach * Z,,Ahrensdorfer Straße,TSch,W,19 - 39,U,einfach  D
Afrikanische Straße,Mitt,W 141 B,,U,einfach Z,,Ahrensfelder Chaussee,Lich,O,1 - 7,U,einfach * D
Afrikanische Straße,Mitt,W 143,- 143 A,U,einfach * Z,,Ahrensfelder Chaussee,Lich,O,19 - 23,U,einfach  D
Afrikanische Straße,Mitt,W 143 B,- 143 C,U,einfach Z,,Ahrensfelder Chaussee,Lich,O,23 A - 25,U,einfach * D
Afrikanische Straße,Mitt,W 144 C,- 144 D,G,einfach Z,,Ahrensfelder Chaussee,Lich,O,41,U,einfach  D
Afrikanische Straße,Mitt,W 145,- 145 B,U,einfach * Z,,Ahrensfelder Chaussee,Lich,O,43 - 63,U,einfach * D
Afrikanische Straße,Mitt,W 145 C,- 145 D,U,einfach Z,,Ahrensfelder Chaussee,Lich,O,79,U,einfach  D
Afrikanische Straße,Mitt,W 146,- 158,G,einfach * Z,,Ahrensfelder Chaussee,Lich,O,81 - 89,U,einfach * D
Afrikanische Straße,Mitt,W 147,- 153 E,U,einfach * Z,,Ahrensfelder Chaussee,Lich,O,91,U,einfach  D
Agathenweg,Rein,W,,K,mittel  D,,Ahrensfelder Chaussee,Lich,O,93,U,einfach * D
Agavensteig,Lich,O 1,- 6,F,mittel * D,,Ahrensfelder Chaussee,Lich,O,93 A,U,einfach  D
Agavensteig,Lich,O 7,- 40,F,mittel  D,,Ahrensfelder Chaussee,Lich,O,95 - 165,U,einfach * D
Agavensteig,TrKö,O 3,- 69,U,einfach  D,,Ahrensfelder Chaussee,MaHe,O,26 - 102,G,einfach * D
Agavensteig,TrKö,O 4,- 68,G,einfach  D,,Ahrensfelder Chaussee,MaHe,O,102 A,G,einfach  D
Agavensteig,TrKö,O 70,,G,einfach * D,,Ahrensfelder Chaussee,MaHe,O,104 - 132,G,einfach * D
Agavensteig,TrKö,O 71,- 83,U,einfach * D,,Ahrensfelder Chaussee,MaHe,O,134 - 150,G,einfach  D
Agavensteig,TrKö,O 72,,G,einfach  D,,Ahrensfelder Chaussee,MaHe,O,150 A - 162 B,G,einfach * D
Agavensteig,TrKö,O 74,- 84,G,einfach * D,,Ahrensfelder Chaussee,MaHe,O,173 - 177,U,einfach * D
Agnes-Hacker-Straße,TrKö,O,,K,mittel  D,,Ahrenshooper Straße,Lich,O,,K,mittel  D
Agnes-Straub-Weg,Neuk,W 1,,U,mittel * D,,Ahrenshooper Zeile,StZe,W,1 - 73,U,gut  D
Agnes-Straub-Weg,Neuk,W 2,,G,mittel  D,,Ahrenshooper Zeile,StZe,W,2,G,gut * D
Agnes-Straub-Weg,Neuk,W 2 A,- 2 B,G,mittel * D,,A.. hrenshooper Zeile,StZe,W,4 - 68,G,gut  D
Agnes-Straub-Weg,Neuk,W 3,- 5,U,mittel  D,,A..hrenweg,MaHe,O,1,U,mittel * D
Agnes-Straub-Weg,Neuk,W 4,- 22,G,mittel  D,,A..hrenweg,MaHe,O,2 - 28,G,mittel * D
Agnes-Wabnitz-Straße,Pank,O,,K,mittel Z,,A..hrenweg,MaHe,O,3 - 49,U,mittel  D
Agnethaweg,Lich,O,,K,mittel  D,,A..hrenweg,MaHe,O,30 - 32,G,mittel  D
Agricolastraße,Mitt,W,,K,mittel Z,,A..hrenweg,MaHe,O,34,G,mittel * D
Ahlbecker Straße,Pank,O 1,- 10,F,gut * Z,,Ahrenweg,MaHe,O,36 - 50,G,mittel  D
Ahlbecker Straße,Pank,O 11,- 21,F,gut Z,,Ahrweilerstraße,ChWi,W,1 - 5,F,gut  D
Ahlbecker Straße,Pank,O 22,,F,gut * Z,,Ahrweilerstraße,ChWi,W,6,F,gut * D
Ahlbeerensteig,Span,O 1,- 7,U,einfach * D,,Ahrweilerstraße,ChWi,W,7 - 10,F,gut  D
Ahlbeerensteig,Span,O 2,- 8,G,einfach * D,,Ahrweilerstraße,ChWi,W,11 - 12,F,gut * D
Ahlbeerensteig,Span,O 9,- 15,U,einfach  D,,Ahrweilerstraße,ChWi,W,13 - 23,F,gut  D
Ahlbeerensteig,Span,O 10,- 12,G,einfach  D,,Ahrweilerstraße,ChWi,W,24 - 25,F,gut * D
Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7,,Straßenname1,Bezirk2,G3,Hausnr.4,B5,WL6 WL7
Ahrweilerstraße,ChWi,W,25 A - 26 A,F,gut  D,,Albert-Kuntz-Straße,MaHe,O,2 - 56,G,mittel Z
Ahrweilerstraße,ChWi,W,27,F,gut * D,,Albert-Kuntz-Straße,MaHe,O,41 - 67,U,mittel Z
Ahrweilerstraße,ChWi,W,29 - 36,F,gut  D,,Albert-Kuntz-Straße,MaHe,O,58,G,mittel * Z
Aiblinger Weg,Span,W,,K,mittel  D,,Albert-Kuntz-Straße,MaHe,O,69 - 73,U,mittel * Z
Aidastraße,Pank,O,7 - 22,F,mittel  D,,Albert-Schweitzer-Straße,TrKö,O,,K,gut Z
Aidastraße,Pank,O,23,F,mittel * D,,Albertstraße,TSch,W,1 - 19,U,einfach Z
Akazienallee,ChWi,W,1,U,gut * D,,Albertstraße,TSch,W,2 - 16,G,einfach Z
Akazienallee,ChWi,W,1 A - 3,U,gut  D,,Albertstraße,TSch,W,18 - 20,G,einfach * Z
Akazienallee,ChWi,W,2 - 64,G,gut  D,,Albertstraße,TSch,W,21 - 23,U,einfach * Z
Akazienallee,ChWi,W,3 A - 5,U,gut * D,,Albestraße,TSch,W,,K,gut Z
Akazienallee,ChWi,W,7 - 55,U,gut  D,,Albiger Weg,StZe,W,,K,gut  D
Akazienallee,ChWi,W,57,U,gut * D,,Alboinplatz,TSch,W,1 - 15,F,mittel  D
Akazienallee,ChWi,W,59 - 63,U,gut  D,,Alboinplatz,TSch,W,17 - 19,F,einfach * D
Akazienallee,MaHe,O,1,F,mittel * D,,Alboinstraße,TSch,W,1 - 9,U,einfach * D
Akazienallee,MaHe,O,1 A - 34,F,mittel  D,,Alboinstraße,TSch,W,4 - 16,G,einfach * D
Akazienallee,MaHe,O,35,F,mittel * D,,Alboinstraße,TSch,W,11,U,einfach  D
Akazienallee,Pank,O,,K,einfach  D,,Alboinstraße,TSch,W,17 - 23,U,einfach * D
Akazienhof,TrKö,O,1 - 25,F,mittel  D,,Alboinstraße,TSch,W,18 - 24,G,einfach  D
Akazienhof,TrKö,O,26,F,mittel * D,,Alboinstraße,TSch,W,25 - 49,U,mittel * D
Akazienstraße,StZe,W,1 - 2,F,gut  D,,Alboinstraße,TSch,W,26 - 112,G,einfach * D
Akazienstraße,StZe,W,3,F,gut * D,,Alboinstraße,TSch,W,51 - 69,U,mittel  D
Akazienstraße,StZe,W,6,F,gut  D,,Alboinstraße,TSch,W,71 - 143,U,mittel * D
Akazienstraße,TSch,W,1 - 2,F,mittel * Z,,Alboinstraße,TSch,W,114 - 116,G,mittel * D
Akazienstraße,TSch,W,3 - 17,F,mittel Z,,Albrecht-Achilles-Straße,ChWi,W,2 - 7,F,gut Z
Akazienstraße,TSch,W,18,F,mittel * Z,,Albrecht-Achilles-Straße,ChWi,W,8,F,gut * Z
Akazienstraße,TSch,W,19 - 29,F,mittel Z,,Albrecht-Achilles-Straße,ChWi,W,9 - 13,F,gut Z
Akazienstraße,TSch,W,30 - 31,F,mittel * Z,,Albrecht-Achilles-Straße,ChWi,W,51 - 51 A,F,gut * Z
Akazienweg,Span,W,,K,mittel  D,,Albrecht-Achilles-Straße,ChWi,W,51 B - 56,F,gut Z
Akeleiweg,TrKö,O,1 - 71 A,U,einfach  D,,Albrecht-Achilles-Straße,ChWi,W,57,F,gut * Z
Akeleiweg,TrKö,O,2,G,einfach * D,,Albrecht-Achilles-Straße,ChWi,W,58 - 65 C,F,gut Z
Akeleiweg,TrKö,O,4 - 60,G,einfach  D,,Albrecht-Berblinger-Straße,Span,W,,K,mittel  D
Akeleiweg,TrKö,O,60 A,G,einfach * D,,Albrecht-Dürer-Straße,MaHe,O,1 - 5 A,F,einfach  D
Akeleiweg,TrKö,O,60 B - 62,G,einfach  D,,Albrecht-Dürer-Straße,MaHe,O,5 C - 9,F,mittel  D
Akeleiweg,TrKö,O,62 A,G,einfach * D,,Albrecht-Dürer-Straße,MaHe,O,12 - 17,F,einfach  D
Akeleiweg,TrKö,O,64 - 74,G,einfach  D,,Albrecht-Dürer-Straße,MaHe,O,17 A - 27 B,F,mittel  D
Akeleiweg,TrKö,O,71 B - 71 C,U,einfach * D,,Albrecht-Dürer-Straße,MaHe,O,27 C - 44,F,einfach  D
Akeleiweg,TrKö,O,73 - 79 A,U,einfach  D,,Albrechts Teerofen,StZe,W,1 - 45,U,gut  D
Akeleiweg,TrKö,O,76 - 88,G,einfach * D,,Albrechts Teerofen,StZe,W,2 - 70,G,gut  D
Akeleiweg,TrKö,O,79 B - 79 C,U,einfach * D,,Albrechts Teerofen,StZe,W,72,G,gut * D
Akeleiweg,TrKö,O,79 D - 81,U,einfach  D,,Albrechtshofer Weg,Span,O,,K,einfach  D
Akeleiweg,TrKö,O,81 A,U,einfach * D,,Albrechtstraße,Mitt,O,5 - 10 A,F,gut Z
Akeleiweg,TrKö,O,81 B - 83,U,einfach  D,,Albrechtstraße,Mitt,O,10 B - 10 F,F,gut * Z
Akeleiweg,TrKö,O,83 A - 83 D,U,einfach * D,,Albrechtstraße,Mitt,O,11,F,gut Z
Akeleiweg,TrKö,O,85 - 85 B,U,einfach  D,,Albrechtstraße,Mitt,O,11 A,F,gut * Z
Akeleiweg,TrKö,O,85 C - 97,U,einfach * D,,Albrechtstraße,Mitt,O,11 B,F,gut Z
Akkordeonweg,Pank,O,,K,einfach  D,,Albrechtstraße,Mitt,O,12,F,gut * Z
Alarichstraße,TSch,W,1 - 11,F,mittel * D,,Albrechtstraße,Mitt,O,13 - 22,F,gut Z
Alarichstraße,TSch,W,12 - 23,F,mittel * Z,,Albrechtstraße,Mitt,O,23 - 25,F,gut * Z
Albanstraße,TSch,W,1,U,mittel  D,,Albrechtstraße,Mitt,O,26 - 27,F,gut Z
Albanstraße,TSch,W,2 - 30,G,mittel  D,,Albrechtstraße,StZe,W,1 - 14 A,F,mittel * Z
Albanstraße,TSch,W,3,U,mittel * D,,Albrechtstraße,StZe,W,14 B - 15 B,F,mittel Z
Albanstraße,TSch,W,3 A - 7,U,mittel  D,,Albrechtstraße,StZe,W,15 C - 19,F,mittel * Z
Albanstraße,TSch,W,9 - 9 A,U,mittel * D,,Albrechtstraße,StZe,W,19 A,F,mittel Z
Albanstraße,TSch,W,9 B - 13,U,mittel  D,,Albrechtstraße,StZe,W,20,F,mittel * Z
Albanstraße,TSch,W,15,U,mittel * D,,Albrechtstraße,StZe,W,20 A - 35,F,gut * D
Albanstraße,TSch,W,17,U,mittel  D,,Albrechtstraße,StZe,W,35 A,F,gut  D
Albanstraße,TSch,W,19 - 19 B,U,mittel * D,,Albrechtstraße,StZe,W,36 - 41,F,gut * D
Albanstraße,TSch,W,21 - 23,U,mittel  D,,Albrechtstraße,StZe,W,42,F,gut  D
Albanstraße,TSch,W,25 - 29,U,mittel * D,,Albrechtstraße,StZe,W,43 - 46,F,gut * D
Albanstraße,TSch,W,32,G,mittel * D,,Albrechtstraße,StZe,W,47,F,gut  D
Alberichstraße,MaHe,O,2 - 50,G,mittel  D,,Albrechtstraße,StZe,W,47 A - 51,F,gut * D
Alberichstraße,MaHe,O,3 - 47,U,mittel  D,,Albrechtstraße,StZe,W,52 - 54,F,mittel * D
Alberichstraße,MaHe,O,54 - 138,G,einfach  D,,Albrechtstraße,StZe,W,54 A - 54 B,F,mittel  D
Alberichstraße,MaHe,O,57 - 135,U,einfach  D,,Albrechtstraße,StZe,W,55 - 57,F,mittel * D
Albersweilerweg,Neuk,W,,K,einfach  D,,Albrechtstraße,StZe,W,58 - 58 B,F,mittel  D
Albert-Einstein-Straße,TrKö,O,1 - 15,U,einfach  D,,Albrechtstraße,StZe,W,59 - 64,F,gut  D
Albert-Einstein-Straße,TrKö,O,2 - 16,G,einfach  D,,Albrechtstraße,StZe,W,65 - 69,F,mittel  D
Albert-Einstein-Straße,TrKö,O,22,G,einfach * D,,Albrechtstraße,StZe,W,70 - 72,F,mittel * D
Albert-Hößler-Straße,Lich,O,,K,einfach Z,,Albrechtstraße,StZe,W,72 A - 72 C,F,mittel  D
Albertinenstraße,Pank,O,1,F,gut * D,,Albrechtstraße,StZe,W,73 - 73 A,F,mittel * D
Albertinenstraße,Pank,O,2 - 27,F,gut  D,,Albrechtstraße,StZe,W,73 B - 73 C,F,mittel  D
Albertinenstraße,Pank,O,28,F,gut * D,,Albrechtstraße,StZe,W,74 - 79 A,F,mittel * D
Albertinenstraße,StZe,W,1 - 2,F,gut * D,,Albrechtstraße,StZe,W,80 - 108,F,gut * D
Albertinenstraße,StZe,W,3 - 31,F,gut  D,,Albrechtstraße,StZe,W,109 - 112 A,F,gut * Z
Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7,,Straßenname1,Bezirk2,G3 Hausnr.4,,B5,WL6 WL7
Albrechtstraße,StZe,W 112 B,- 112 F,F,gut Z,,Alfred-Kowalke-Straße,Lich,O 1,,F,mittel * D
Albrechtstraße,StZe,W 113,- 117,F,gut * Z,,Alfred-Kowalke-Straße,Lich,O 2,- 3,F,mittel  D
Albrechtstraße,StZe,W 117 A,,F,gut Z,,Alfred-Kowalke-Straße,Lich,O 4,- 14,F,mittel * D
Albrechtstraße,StZe,W 118,- 120,F,gut * Z,,Alfred-Kowalke-Straße,Lich,O 17,- 29,F,mittel  D
Albrechtstraße,StZe,W 121,- 129,F,mittel * Z,,Alfred-Kowalke-Straße,Lich,O 30,- 39 B,F,mittel * D
Albrechtstraße,StZe,W 131,- 132,F,gut * Z,,Alfred-Kowalke-Straße,Lich,O 40,,F,mittel  D
Albrechtstraße,TSch,W 15,- 16 J,F,mittel  D,,Alfred-Kowalke-Straße,Lich,O 40 A,- 42,F,mittel * D
Albrechtstraße,TSch,W 17,- 40,F,mittel Z,,Alfred-Randt-Straße,TrKö,O,,K,mittel  D
Albrechtstraße,TSch,W 41,- 44,F,mittel * Z,,Alfred-Rojek-Weg,Neuk,W,,K,einfach  D
Albrechtstraße,TSch,W 45,- 61,F,mittel Z,,Alfred-Siggel-Weg,Lich,O,,K,mittel  D
Albrechtstraße,TSch,W 62,,F,mittel * Z,,Alfredstraße,Lich,O,,K,einfach * Z
