Adlergestell,TrKö O 250,- 566,G,mittel,Akkordeonweg,Pank O,49 - 55,U,mittel
Adlergestell,TrKö O 573,- 615,U,gut,Akkordeonweg,Pank O,57 - 65,U,einfach
Adlergestell,TrKö O 582,- 610,G,gut,Akkordeonweg,Pank O,58 - 64,G,mittel
Adlergestell,TrKö O 623,- 785,U,einfach,Akkordeonweg,Pank O,66,G,einfach
Adlergestell,TrKö O 650,- 786,G,einfach,Alarichstraße,TSch W,,K,mittel
Adlershofer Straße,TrKö O,,K,einfach,Albanstraße,TSch W,,K,mittel
Adlerstraße,TrKö O,,K,einfach,Alberichstraße,MaHe O,,K,mittel
Admiralstraße,FrKr W,,K,einfach,Albersweilerweg,Neuk W,,K,einfach
Adolf-Heyden-Straße,TrKö O,,K,mittel,Albert-Einstein-Straße,TrKö O,1 - 11,U,mittel
Adolf-Martens-Straße,StZe W,,K,gut,Albert-Einstein-Straße,TrKö O,2 - 12,G,mittel
Adolf-Menzel-Straße,MaHe O,,K,mittel,Albert-Einstein-Straße,TrKö O,14 - 22,G,einfach
Adolf-Scheidt-Platz,TSch W,,K,mittel,Albert-Einstein-Straße,TrKö O,15,U,einfach
Adolfstraße,MaHe O,,K,mittel,Albert-Hößler-Straße,Lich O,,K,einfach
Adolfstraße,Mitt W,,K,einfach,Albertinenstraße,Pank O,,K,gut
Adolfstraße (Stegl),StZe W,,K,mittel,Albertinenstraße,StZe W,,K,mittel
Adolfstraße (Zehld),StZe W,,K,mittel,Albert-Kuntz-Straße,MaHe O,,K,mittel
Adolf-Wermuth-Allee,Lich O,,K,mittel,Albert-Schweitzer-Straße,TrKö O,,K,gut
Adorfer Straße,MaHe O,,K,einfach,Albertstraße,TSch W,,K,einfach
Aegirstraße,Rein W,,K,einfach,Albestraße,TSch W,,K,gut
AEG-Siedlung Heimat,Rein W,,K,mittel,Albiger Weg,StZe W,,K,gut
AEG-Straße,Rein W,,K,mittel,Alboinplatz,TSch W,,K,mittel
Affensteinweg,Pank O,,K,einfach,Alboinstraße,TSch W,1 - 33,U,einfach
Afrikanische Straße,Mitt W,,K,einfach,Alboinstraße,TSch W,4 - 56,G,einfach
Agathenweg,Rein W,,K,mittel,Alboinstraße,TSch W,35 - 143,U,mittel
Agavensteig,Lich O,,K,mittel,Alboinstraße,TSch W,82 - 116,G,mittel
Agavensteig,TrKö O,,K,einfach,Albrecht-Achilles-Straße,ChWi W,,K,gut
Agnes-Hacker-Straße,TrKö O,,K,einfach,Albrecht-Berblinger-Straße,Span W,,K,mittel
Agnes-Straub-Weg,Neuk W,,K,mittel,Albrecht-Dürer-Straße,MaHe O,,K,mittel
Agnes-Wabnitz-Straße,Pank O,,K,mittel,Albrechts Teerofen,StZe W,,K,gut
Agnethaweg,Lich O,,K,mittel,Albrechtshofer Weg,Span O,,K,einfach
Agricolastraße,Mitt W 1,- 6,F,gut,Albrechtstraße,Mitt O,,K,gut
Agricolastraße,Mitt W 7,- 26,F,mittel,Albrechtstraße,StZe W,1 - 28,F,mittel
Straßenname1,Bezirk2 G3 Hausnr.4,,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Albrechtstraße,StZe W 30,- 39,F,gut,Alpenveilchenweg,MaHe O,,K,mittel
Albrechtstraße,StZe W 40,- 129,F,mittel,Alpnacher Weg,Pank O,,K,mittel
Albrechtstraße,StZe W 131,- 132,F,gut,Alsaceweg,Pank O,,K,einfach
Albrechtstraße,TSch W 15,- 127,F,mittel,Alsbacher Weg,StZe W,,K,gut
Albrechtstraße,TSch W 131,- 145,F,einfach,Alsenstraße (Stegl),StZe W,,K,gut
Albrecht-Thaer-Weg,StZe W,,K,gut,Alsenstraße (Wanns),StZe W,,K,gut
Albtalweg,Rein W,,K,mittel,Alsenzer Weg,TrKö O,1 - 71,U,einfach
Albulaweg,TSch W,,K,mittel,Alsenzer Weg,TrKö O,2 - 40,G,einfach
Alemannenallee,ChWi W,,K,gut,Alsenzer Weg,TrKö O,42 - 72,G,mittel
Alemannenstraße,Rein W,,K,gut,Alsheimer Straße,StZe W,1 - 7,F,mittel
Alemannenstraße,StZe W,,K,gut,Alsheimer Straße,StZe W,10 - 12,F,gut
Alemannenstraße,TrKö O,,K,mittel,Alsterweg,StZe W,,K,mittel
Alexander-Meißner-Straße,TrKö O 1,- 76,F,einfach,Altarsteinweg,Pank O,,K,einfach
Alexander-Meißner-Straße,TrKö O 77 A,- 77 D,F,mittel,Alt-Biesdorf,MaHe O,,K,mittel
Alexander-Meißner-Straße,TrKö O 78,- 88,F,einfach,Alt-Blankenburg,Pank O,,K,mittel
Alexanderplatz,Mitt O,,K,gut,Alt-Britz,Neuk W,,K,einfach
Alexanderstraße,Mitt O 1,- 7,U,gut,Alt-Buch,Pank O,,K,einfach
Alexanderstraße,Mitt O 4,,G,gut,Alt-Buckow,Neuk W,,K,einfach
Alexanderstraße,Mitt O 9,- 35,U,mittel,Altdammer Weg,Rein W,,K,mittel
Alexanderstraße,Mitt O 36,- 40,G,mittel,Altdorfer Straße,StZe W,,K,mittel
Alexanderufer,Mitt O,,K,gut,Alte Allee,ChWi W,,K,mittel
Alexander-von-Humboldt-Weg,TrKö O,,K,mittel,Alte Brauerei,FrKr W,,K,mittel
Alexandrinenstraße,FrKr W,,K,einfach,Alte Hellersdorfer Straße,MaHe O,,K,einfach
Alexandrinenstraße,Mitt O,,K,gut,Alte Jakobstraße,FrKr W,,K,einfach
Alex-Wedding-Straße,Mitt O,,K,gut,Alte Jakobstraße,Mitt O,,K,gut
Alfelder Straße,MaHe O 20,- 134,G,mittel,Alte Kaulsdorfer Straße,TrKö O,,K,mittel
Alfelder Straße,MaHe O 45,- 133,U,mittel,Alte Leipziger Straße,Mitt O,,K,gut
Alfelder Straße,MaHe O 137,- 149,U,gut,Alte Potsdamer Straße,Mitt W,,K,gut
Alfelder Straße,MaHe O 138,- 150,G,gut,Alte Rhinstraße,MaHe O,,K,mittel
Alfons-Loewe-Straße,Span O,,K,einfach,Alte Schönhauser Straße,Mitt O,,K,gut
Alfonsstraße,TrKö O 6,- 22,G,einfach,Altenauer Weg,StZe W,,K,mittel
Alfonsstraße,TrKö O 21,- 77,U,mittel,Altenberger Weg,Pank O,,K,mittel
Alfonsstraße,TrKö O 26,- 80,G,mittel,Altenbraker Straße,Neuk W,,K,einfach
Alfred-Döblin-Straße,MaHe O,,K,einfach,Altenburger Allee,ChWi W,,K,gut
Alfred-Jung-Straße,Lich O,,K,mittel,Altenburger Straße,StZe W,,K,mittel
Alfred-Kowalke-Straße,Lich O 1,- 4,F,mittel,Altenescher Weg,Pank O,,K,einfach
Alfred-Kowalke-Straße,Lich O 5,- 10,F,einfach,Altenhofer Straße,Lich O,1 - 39,U,mittel
Alfred-Kowalke-Straße,Lich O 14,- 22,F,mittel,Altenhofer Straße,Lich O,16,G,einfach
Alfred-Kowalke-Straße,Lich O 23,- 27,F,einfach,Altenhofer Straße,Lich O,30 - 40,G,mittel
Alfred-Kowalke-Straße,Lich O 28 A,- 28 C,F,mittel,Altenhofer Weg,Rein W,6 - 22,G,einfach
Alfred-Kowalke-Straße,Lich O 29,- 30,F,einfach,Altenhofer Weg,Rein W,7 - 23,U,mittel
Alfred-Kowalke-Straße,Lich O 34,- 42,F,mittel,Altensteinstraße,StZe W,,K,gut
Alfred-Randt-Straße,TrKö O,,K,mittel,Altentreptower Straße,MaHe O,,K,mittel
Alfred-Rojek-Weg,Neuk W,,K,einfach,Alter Bernauer Heerweg,Rein W,,K,mittel
Alfred-Siggel-Weg,Lich O,,K,mittel,Alter Fischerweg,TrKö O,,K,gut
Alfredstraße,Lich O,,K,einfach,Alter Markt,TrKö O,,K,mittel
Alice-Berend-Straße,Mitt W,,K,mittel,Alter Radelander Weg,TrKö O,,K,einfach
Alice-Salomon-Platz,MaHe O,,K,mittel,Alter Schönefelder Weg,TrKö O,,K,einfach
Alice-und-Hella-Hirsch-Ring,Lich O,,K,mittel,Alter Wiesenweg,Rein W,,K,einfach
Alkenweg,TrKö O,,K,mittel,Altes Gaswerk Mariendorf,TSch W,,K,einfach
Allee der Kosmonauten,Lich O,,K,einfach,Alt-Friedrichsfelde,Lich O,1 - 25,F,einfach
Allee der Kosmonauten,MaHe O 24,- 49,F,einfach,Alt-Friedrichsfelde,Lich O,26 - 40 A,F,mittel
Allee der Kosmonauten,MaHe O 50,- 147,F,mittel,Alt-Friedrichsfelde,Lich O,41 - 127 A,F,einfach
Allee der Kosmonauten,MaHe O 148,- 152,F,einfach,Alt-Friedrichsfelde,MaHe O,,K,mittel
Allee der Kosmonauten,MaHe O 155,- 157,F,mittel,Alt-Gatow,Span W,,K,mittel
Allee der Kosmonauten,MaHe O 160,- 198,F,einfach,Altglienicker Grund,TrKö O,,K,mittel
Allee der Kosmonauten,MaHe O 199,,F,mittel,Altgrabauer Straße,TrKö O,,K,mittel
Allee der Kosmonauten,MaHe O 200,- 202,F,einfach,Althansweg,MaHe O,,K,einfach
Allee der Kosmonauten,MaHe O 203,,F,mittel,Altheider Straße,TrKö O,,K,mittel
Allée St. Exupéry,Rein W,,K,mittel,Alt-Heiligensee,Rein W,,K,mittel
Allendeweg,TrKö O,,K,mittel,Alt-Hellersdorf,MaHe O,,K,einfach
Allendorfer Weg,Lich O,,K,mittel,Alt-Hermsdorf,Rein W,,K,mittel
Allerstraße,Neuk W,,K,einfach,Althoffplatz,StZe W,,K,gut
Allgäuer Weg,TSch W,,K,mittel,Althoffstraße,StZe W,,K,gut
Allmendeweg,Rein W,,K,mittel,Altkanzlerstraße,StZe W,,K,gut
Allmersweg,TrKö O,,K,mittel,Alt-Karow,Pank O,,K,mittel
Almazeile,Rein W,,K,mittel,Alt-Kaulsdorf,MaHe O,,K,mittel
Almstadtstraße,Mitt O,,K,gut,Altkircher Straße,StZe W,,K,gut
Almutstraße,Rein W,,K,mittel,Alt-Kladow,Span W,1 - 13,U,gut
Almweg,TSch W,,K,mittel,Alt-Kladow,Span W,2 - 22,G,gut
Alpenberger Straße,Pank O,,K,einfach,Alt-Kladow,Span W,17 - 25,U,mittel
Alpenrosenweg,TrKö O 28,- 44,G,mittel,Alt-Köpenick,TrKö O,,K,mittel
Alpenrosenweg,TrKö O 43,- 93,U,einfach,Altlandsberger Platz,MaHe O,,K,mittel
Alpenrosenweg,TrKö O 48,- 90,G,einfach,Alt-Lankwitz,StZe W,,K,mittel
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Alt-Lichtenrade,TSch W,1 - 85,U,mittel,Am Bärensprung,Rein W,,K,mittel
Alt-Lichtenrade,TSch W,2 - 84,G,mittel,Am Barnim,MaHe O,,K,mittel
Alt-Lichtenrade,TSch W,89 - 141,U,einfach,Am Bauernwäldchen,TrKö O,,K,einfach
Alt-Lichtenrade,TSch W,92 - 140,G,einfach,Am Bauersee,TrKö O,,K,einfach
Alt-Lietzow,ChWi W,,K,mittel,Am Beelitzhof,StZe W,,K,gut
Alt-Lübars,Rein W,,K,mittel,Am Berg,TrKö O,,K,mittel
Alt-Mahlsdorf,MaHe O,,K,mittel,Am Berghang,Span W,,K,mittel
Alt-Mariendorf,TSch W,1 - 33 A,U,mittel,Am Bergpfuhl,Neuk W,,K,einfach
Alt-Mariendorf,TSch W,2 - 32,G,mittel,Am Berl,Lich O,,K,einfach
Alt-Mariendorf,TSch W,34 - 60,G,einfach,Am Berlin Museum,FrKr W,,K,einfach
Alt-Mariendorf,TSch W,37 - 55,U,einfach,Am Biberbau,Rein W,,K,gut
Alt-Marienfelde,TSch W,,K,mittel,Am Binsengrund,MaHe O,,K,mittel
Altmarkstraße,StZe W,,K,mittel,Am Birkenhügel,StZe W,,K,gut
Alt-Marzahn,MaHe O,5 - 69 A,U,mittel,Am Birkenknick,StZe W,,K,mittel
Alt-Marzahn,MaHe O,14 - 56 C,G,mittel,Am Birkenrevier,Lich O,,K,mittel
Alt-Marzahn,MaHe O,56 D - 56 H,G,einfach,Am Birkenwerder,MaHe O,,K,mittel
Alt-Marzahn,MaHe O,58 - 70,G,mittel,Am Bogen,Span W,,K,einfach
Alt-Moabit,Mitt W,2,F,gut,Am Bootshaus,Span W,,K,einfach
Alt-Moabit,Mitt W,5,F,mittel,Am Borsigturm,Rein W,,K,mittel
Alt-Moabit,Mitt W,9 - 10,F,einfach,Am Böttcherberg,StZe W,,K,gut
Alt-Moabit,Mitt W,12 - 34,F,mittel,Am Brandpfuhl,Neuk W,,K,einfach
Alt-Moabit,Mitt W,35 - 65,F,einfach,Am Breiten Luch,Lich O,2 - 52,G,mittel
Alt-Moabit,Mitt W,70 - 138,F,mittel,Am Breiten Luch,Lich O,3 - 19,U,mittel
Alt-Moabit,Mitt W,140 - 146,F,gut,Am Breiten Luch,Lich O,47 - 67,U,einfach
Alt-Müggelheim,TrKö O,,K,mittel,Am Bremsenwerk,Lich O,,K,mittel
Altonaer Straße,MaHe O,,K,mittel,Am Brendegraben,Pank O,,K,einfach
Altonaer Straße,Mitt W,1 - 15,U,gut,Am Britzer Garten,Neuk W,,K,einfach
Altonaer Straße,Mitt W,2 - 22,G,gut,Am Brodersengarten,MaHe O,,K,mittel
Altonaer Straße,Mitt W,19 - 27,U,mittel,Am Bruchland,TrKö O,,K,einfach
Altonaer Straße,Mitt W,26,G,mittel,Am Brunnen,Rein W,,K,mittel
Altonaer Straße,Span W,,K,einfach,Am Buchenberg,Rein W,,K,gut
Alt-Pichelsdorf,Span W,,K,mittel,Am Buckersberg,TrKö O,,K,mittel
Altrader Weg,Neuk W,,K,einfach,Am Buddeplatz,Rein W,,K,mittel
Alt-Reinickendorf,Rein W,,K,einfach,Am Bürgerpark,Pank O,15 - 22,F,mittel
Alt-Rudow,Neuk W,,K,mittel,Am Bürgerpark,Pank O,24,F,gut
Alt-Schmöckwitz,TrKö O,,K,einfach,Am Bürgerpark,Rein W,,K,mittel
Alt-Schönow,StZe W,,K,mittel,Am Buschfeld,Neuk W,,K,einfach
Altstädter Ring,Span W,,K,einfach,Am Carlsgarten,Lich O,,K,gut
Alt-Stralau,FrKr O,1 - 66,F,gut,Am Carolinenhof,Span W,,K,gut
Alt-Stralau,FrKr O,68 - 71,F,mittel,Am Cleantech Business Park,MaHe O,,K,einfach
Alt-Tegel,Rein W,1 - 9,U,mittel,Am Comeniusplatz,FrKr O,,K,gut
Alt-Tegel,Rein W,2 - 44,G,gut,Am Dachsbau,Rein W,,K,mittel
Alt-Tegel,Rein W,11 - 51,U,gut,Am Damm,TrKö O,,K,mittel
Alt-Tempelhof,TSch W,,K,mittel,Am Danewend,Pank O,,K,mittel
Alt-Treptow,TrKö O,1 - 3,F,gut,Am Dianaplatz,Rein W,,K,mittel
Alt-Treptow,TrKö O,4 - 16,F,mittel,Am Doggelhof,Rein W,,K,einfach
Alt-Treptow,TrKö O,17,F,gut,Am Dominikusteich,Rein W,,K,gut
Altvaterstraße,StZe W,,K,gut,Am Donnerberg,Span W,,K,mittel
Alt-Wittenau,Rein W,8 - 34,F,einfach,Am Dorfanger,Rein W,,K,mittel
Alt-Wittenau,Rein W,35 - 65,F,mittel,Am Dörferweg,Lich O,,K,einfach
Alt-Wittenau,Rein W,66 - 95,F,einfach,Am Dorfteich,Rein W,,K,mittel
Alvenslebenstraße (Lirad),TSch W,,K,mittel,Am Dorfwald,Span W,,K,gut
Alvenslebenstraße (Schön),TSch W,,K,einfach,Am Eichenhain,Rein W,,K,gut
Alwineweg,MaHe O,,K,einfach,Am Eichenquast,Neuk W,,K,einfach
Alzeyweg,Lich O,,K,mittel,Am Eichgarten,StZe W,1 - 14,F,mittel
Am Adlergestell,TrKö O,,K,mittel,Am Eichgarten,StZe W,15 - 17,F,gut
Am Ahornweg,Lich O,,K,mittel,Am Elsebrocken,Pank O,,K,mittel
Am Akazienweg,Lich O,,K,mittel,Am Elsenbruch,StZe W,,K,mittel
Am Alten Fenn,TrKö O,,K,mittel,Am Erlenbusch,StZe W,,K,gut
Am alten Flugplatz,Lich O,,K,mittel,Am Ernst-Grube-Park,TrKö O,,K,mittel
Am Alten Friedhof,TrKö O,,K,einfach,Am Espenpfuhl,Neuk W,,K,einfach
Am alten Gaswerk,Span O,,K,einfach,Am Eulenhorst,Rein W,,K,mittel
Am Amtsgraben,TrKö O,,K,mittel,Am Falkenberg,TrKö O,,K,mittel
Am Anger,StZe W,,K,gut,Am Falkenberg Wasserwerk,TrKö O,,K,mittel
Am Appelhorst,Neuk W,,K,einfach,Am Falkplatz,Pank O,,K,gut
Am Ausblick,Rein W,,K,gut,Am Faulen See,Lich O,1 - 117,U,einfach
Am Bachrain,MaHe O,,K,mittel,Am Faulen See,Lich O,2 - 10,G,mittel
Am Bahndamm,TrKö O,,K,mittel,Am Faulen See,Lich O,20 - 114,G,einfach
Am Bahnhof Grunewald,ChWi W,,K,gut,Am Feldberg,MaHe O,,K,mittel
Am Bahnhof Spandau,Span W,,K,einfach,Am Fenn,StZe W,,K,mittel
Am Bahnhof Westend,ChWi W,,K,mittel,Am Festungsgraben,Mitt O,,K,gut
Am Bahnhof Wuhlheide,TrKö O,,K,mittel,Am Feuchten Winkel,Pank O,,K,mittel
Am Bäkequell,StZe W,,K,mittel,Am Fichtenberg,StZe W,,K,gut
Am Baltenring,MaHe O,,K,mittel,Am Filmlager,TrKö O,,K,mittel
Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6,Straßenname1,Bezirk2 G3,Hausnr.4,B5,WL6
Am Finkenherd,Span W,,K,einfach,Am Kienpfuhl,Neuk W,,K,einfach
Am Fischtal,StZe W,,K,gut,Am Kiesberg,TrKö O,,K,einfach
Am Fliederbusch,ChWi W,,K,mittel,Am Kiesteich,Span W,,K,einfach
Am Fließ,Pank O,,K,mittel,Am Kietzer Feld,TrKö O,,K,mittel
Am Flugplatz Gatow,Span W,,K,mittel,Am Kinderdorf,Span W,,K,mittel
Am Flutgraben,FrKr W,,K,mittel,Am Kirchendreieck,MaHe O,,K,mittel
Am Flutgraben,TrKö O,,K,mittel,Am Kirchenland,Span W,,K,einfach
Am Fölzberg,Rein W,,K,mittel,Am Kirschgarten,Pank O,,K,mittel
Am Forstacker,Span W,,K,mittel,Am Kladower Wäldchen,Span W,,K,gut
Am Fort,Span O,,K,mittel,Am Klarpfuhl,Neuk W,,K,einfach
Am Freibad,Rein W,,K,mittel,Am Klauswerder,Rein W,,K,mittel
Am Friedrichshain,Pank O,1 - 22,F,gut,Am kleinen Anger,StZe W,,K,gut
Am Friedrichshain,Pank O,23 - 32,F,mittel,Am Kleinen Platz,Span W,,K,einfach
Am Friedrichshain,Pank O,33 - 35,F,gut,Am Kleinen Wannsee,StZe W,,K,gut
Am Fuchsbau,Rein W,,K,mittel,Am Kletterplatz,Lich O,,K,mittel
Am Fuchspaß,StZe W,,K,gut,Am Klötzgraben,Rein W,,K,mittel
Am Gartenstadtweg,TrKö O,,K,mittel,Am Koeltzepark,Span W,,K,einfach
Am Gehrensee,Lich O,,K,einfach,Am Köllnischen Park,Mitt O,1,F,gut
Am Gemeindepark,StZe W,,K,mittel,Am Köllnischen Park,Mitt O,2 - 4 A,F,mittel
Am Generalshof,TrKö O,,K,mittel,Am Köllnischen Park,Mitt O,5 - 17,F,gut
Am Genossenschaftsring,Lich O,,K,mittel,Am Konsulat,Pank O,,K,gut
Am Gewerbepark,MaHe O,,K,mittel,Am Kornfeld,MaHe O,,K,mittel
Am Glinigk,TrKö O,,K,einfach,Am Krähenberg,Rein W,,K,mittel
Am Goldmannpark,TrKö O,1 - 57,U,gut,Am Kringel,Rein W,,K,gut
Am Goldmannpark,TrKö O,2 - 80,G,gut,Am Krögel,Mitt O,,K,gut
Am Goldmannpark,TrKö O,63 - 83,U,mittel,Am Krug,Span W,,K,einfach
Am Graben,Lich O,,K,mittel,Am Krummen Weg,Span W,,K,einfach
Am Graben,Pank O,,K,mittel,Am Krusenick,TrKö O,,K,mittel
Am Groen,MaHe O,,K,mittel,Am Kupfergraben,Mitt O,,K,gut
Am Großen Rohrpfuhl,Neuk W,,K,mittel,Am Kurzen Weg,Span W,,K,einfach
Am Großen Wannsee,StZe W,,K,gut,Am Küstergarten,TrKö O,,K,einfach
Am Grünen Anger,TrKö O,,K,mittel,Am Kutscherhaus,TrKö O,,K,mittel
Am Grünen Hof,Rein W,,K,gut,Am Landschaftspark Gatow,Span W,,K,mittel
Am Grünen Zipfel,Rein W,,K,gut,Am Langen Weg,Span W,,K,einfach
Am Grüngürtel,Rein W,,K,mittel,Am Lappjagen,StZe W,,K,gut
Am Güterbahnhof Halensee,ChWi W,,K,gut,Am Laubwald,Span W,,K,einfach
Am Gutshof,Lich O,,K,mittel,Am Lehnshof,Rein W,,K,mittel
Am Gutspark,Lich O,,K,mittel,Am Leitbruch,Rein W,,K,mittel
Am Hain,ChWi W,,K,mittel,Am Lindenplatz,Lich O,,K,mittel
Am Hamburger Bahnhof,Mitt W,,K,mittel,Am Lindenweg,Lich O,,K,mittel
Am Hanffgraben,Neuk W,,K,mittel,Am Lokdepot,TSch W,,K,mittel
Am Haselbusch,TrKö O,,K,mittel,Am Löwentor,StZe W,,K,gut
Am Haselluch,Span W,,K,mittel,Am Lübarser Feld,Rein W,,K,mittel
Am Havelgarten,Span W,,K,einfach,Am Lupinenfeld,MaHe O,,K,mittel
Am Havelufer,Span W,,K,mittel,Am Märchenbrunnen,Pank O,,K,gut
Am Hechtgraben,Lich O,,K,mittel,Am Maria-Jankowski-Park,TrKö O,,K,gut
Am Hegewinkel,StZe W,,K,gut,Am Marienhain,TrKö O,,K,mittel
Am Heideberg,Span W,,K,einfach,Am Maselakepark,Span W,4 - 8,F,mittel
Am Heidebusch,ChWi W,,K,einfach,Am Maselakepark,Span W,11,F,einfach
Am Heidehof,StZe W,,K,gut,Am Maselakepark,Span W,12,F,mittel
Am Heidesaum,StZe W,,K,gut,Am Maselakepark,Span W,13 - 15,F,einfach
Am Heimenstein,Pank O,,K,mittel,Am Maselakepark,Span W,16,F,mittel
Am Heimhort,Span W,,K,einfach,Am Maselakepark,Span W,17 - 19,F,einfach
Am Hellespont,TSch W,,K,einfach,Am Maselakepark,Span W,20,F,mittel
Am Herzbergteich,Lich O,,K,einfach,Am Maselakepark,Span W,21 - 23,F,einfach
Am Hirschsprung,StZe W,,K,gut,Am Maselakepark,Span W,24 - 24 A,F,mittel
Am Hirschwechsel,Rein W,,K,mittel,Am Maselakepark,Span W,25,F,einfach
Am Hohen Feld,Pank O,,K,mittel,Am Maselakepark,Span W,26 - 26 B,F,mittel
Am Horstenstein,TSch W,,K,mittel,Am Maselakepark,Span W,27,F,einfach
Am Hügel,Rein W,,K,mittel,Am Maselakepark,Span W,28 - 28 A,F,mittel
Am Hüllepfuhl,Span W,,K,einfach,Am Maselakepark,Span W,29,F,einfach
Am Iderfenngraben,Pank O,,K,mittel,Am Maselakepark,Span W,30 - 53,F,mittel
Am Igelgrund,Pank O,,K,mittel,Am Meisenwinkel,Pank O,,K,mittel
Am Irissee,Neuk W,,K,einfach,Am Mickelbruch,Neuk W,,K,einfach
Am Jartz,Rein W,,K,mittel,Am Moosbruch,MaHe O,,K,mittel
Am Juliusturm,Span W,,K,einfach,Am Müggelberg,TrKö O,,K,mittel
Am Kahlschlag,Rein W,,K,gut,Am Mühlanger,Neuk W,,K,einfach
Am Kanal,TrKö O,,K,mittel,Am Mühlenberg,TSch W,,K,mittel
Am Kaniswall,TrKö O,,K,einfach,Am Mühlenfließ,TrKö O,,K,mittel
Am Karlsbad,Mitt W,,K,mittel,Am Niederfeld,MaHe O,,K,mittel
Am Karpfenpfuhl,StZe W,,K,mittel,Am Nordbahnhof,Mitt O,,K,mittel
Am Kesselpfuhl,Rein W,,K,mittel,Am Nordgraben,Rein W,2 - 5,F,mittel
